Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
09/08/2018,"14 THE GREENLANDS, ROSSES POINT, SLIGO",Sligo,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.30917,-8.56611
20/03/2018,"NO 7 THE BINNS, RATHMULLAN, CO DONEGAL",Donegal,,"€36,250.00",No,No,Second-Hand Dwelling house /Apartment,,55.09389,-7.54028
27/07/2018,"43 THE MAPLES, HAZELHILL, BALLYHAUNIS",Mayo,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.76667,-8.76667
28/03/2018,"32 HYDE PARK, DALKEY, DUBLIN",Dublin,,"€975,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2810906,-6.1117647
20/04/2018,"25 FIRGROVE LAWN, BISHOPSTOWN, CORK",Cork,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8825515,-8.5199461
20/07/2018,"40 Oak Hill, Gorey",Wexford,,"€233,480.17",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.67472,-6.2925
20/12/2018,"5 The Pike, Castledermot",Kildare,,"€220,000.00",Yes,Yes,New Dwelling house /Apartment,,52.90889,-6.84222
28/06/2018,"FERNHILL COTTAGE, BALLINROBE RD, WESTPORT",Mayo,,"€306,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.8,-9.51667
04/12/2018,"63 USHNAGH COURT, LYNN ROAD, MULLINGAR",Westmeath,,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
21/11/2018,"53 LOMBARD ST WEST, DUBLIN 8, DUBLIN",Dublin,,"€637,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.3338645,-6.2725421
16/04/2018,"52 ROSANULE, PHOENIX PARK AVE, PHOENIX PARK RACECOURSE DUBLIN 15",Dublin,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/06/2018,"KNOCKNAGOUN, RYLANE, CORK",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.98333,-8.83333
24/05/2018,"GORTNABRADE, CARRIGART, LETTERKENNY",Donegal,,"€46,700.00",Yes,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
14/12/2018,"14 BRU NA HABHAINN, SLANE RD, NAVAN",Meath,,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
24/08/2018,"Apartment 152  Charlotte Block, Honeypark, Dun Laoghaire",Dublin,,"€361,233.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
01/02/2018,"Apt 48 Eustace Court, Cualanor, Upper Glenageary Road",Dublin,,"€616,740.09",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
07/03/2018,"51 ROCKABILL, HOLMPATRICK APARTMENT, SKERRIES",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/08/2018,"THE LODGE, BALLYOWEN, CASHEL",Tipperary,,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
14/08/2018,"AUGHABEHY, ARIGNA, CO. ROSCOMMON",Roscommon,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.07778,-8.10556
28/11/2018,"13 THE ELMS, FOSTER ST, GALWAY",Galway,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
23/10/2018,"67 THE SQUARE, HAZELHATCH PARK, CELBRIDGE",Kildare,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3333349,-6.531806
14/09/2018,"MAIN STREET, FEAKLE, CO. CLARE",Clare,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.9286878,-8.6429425
12/12/2018,"Apartment 30, Block 3, Canal Bank Walk",Dublin,,"€101,818.24",No,Yes,New Dwelling house /Apartment,,53.3380656,-6.2947932
20/06/2018,"1 COUMALEAGUE, VENTRY, TRALEE",Kerry,,"€527,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
27/07/2018,"INSTITUTE ROAD, BAILEBOROUGH, CO. CAVAN.",Cavan,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.91667,-6.96667
30/01/2018,"KILTORCAN, BALLYHALE, KILKENNY",Kilkenny,,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.46806,-7.19639
16/10/2018,"9 UPPER NEWCASTLE, NEWCASTLE RD, GALWAY",Galway,,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2931864,-9.0872259
06/11/2018,"5 COOLBAWN COURT, MIDLETON, CO. CORK",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
11/04/2018,"15 BROOKVILLE AVE, CLAREVIEW, LIMERICK CITY",Limerick,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6730957,-8.6498557
19/12/2018,"APT 4 THE TALLOW, RATHBORNE VILLAGE, ASHTOWN DUBLIN 15",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/11/2018,"78 ALLENDALE SQ, CLONSILLA, DUBLIN 15",Dublin,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3895685,-6.4271314
11/12/2018,"85 BANOGUE, MOUNT PLEASANT, LOUGHREA",Galway,,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.19694,-8.56694
19/04/2018,"24 Racecourse, Kilmacrennan, County Donegal",Donegal,,"€149,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,55.03083,-7.77917
14/08/2018,"33 Brighton Wood, Brighton Road, Foxrock",Dublin,,"€660,792.95",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
11/05/2018,"EAST SQUARE, ASKEATON, CO LIMERICK",Limerick,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.59972,-8.97556
16/03/2018,"LEHERY, LANESBOROUGH, LONGFORD",Longford,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.66667,-7.98333
