Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
09/12/2021,"2A BARRETT STREET, BAGENALSTOWN, CARLOW",Carlow,R21HK50,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.70031,-6.96181
02/07/2021,"16 DRUMMOND PLACE, HAROLDS CROSS, DUBLIN 6",Dublin,D06AP92,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
03/02/2021,"APARTMENT 1, BRIDEWELL LANE, MALLOW",Cork,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1348707,-8.6404947
16/07/2021,"15 BRU NA HABHAINN, NAVAN, MEATH",Meath,C15DRX9,"€251,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6583887,-6.6694941
01/10/2021,"BALLINPHUILL, BALLYHAUNIS, MAYO",Mayo,,"€212,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.7617325,-8.7424449
10/12/2021,"4 LOUGHCOMMON COURT, LUSK",Dublin,K45A368,"€348,017.00",No,Yes,New Dwelling house /Apartment,,53.5255568,-6.1578142
04/02/2021,"82 CARRAIG MIDHE, CORBALLY, CLARE",Clare,,"€201,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.70917,-9.64639
08/04/2022,"BARNA, GLENAMADY, CO GALWAY",Galway,,"€93,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
13/09/2022,"ARDKITT EAST, ENNISKEANE, CORK",Cork,P47D281,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
16/08/2022,"CONEY HILL, BREMORE, BALBRIGGAN",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
08/08/2022,"26 GLENDALE PARK, WHITEHALL ROAD, DUBLIN 12",Dublin,D12N5P1,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
07/02/2022,"APT 79 GLANNTAN GOLF LINKS RD, CASTLETROY, LIMERICK",Limerick,V94FX31,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
03/11/2022,"105 FOREST HILLS, RATHCOOLE, DUBLIN",Dublin,D24X521,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2792497,-6.4752334
22/11/2022,"KILBRIEN, BALLINAMULT, CO. WATERFORD",Waterford,E91NN12,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.21111,-7.73667
19/10/2022,"5 Mill Park Millerstown, Kilcock, Co. Meath",Meath,,"€374,449.34",No,Yes,New Dwelling house /Apartment,,53.66667,-6.66667
20/12/2022,"36 NEWPARK DRIVE, CHAPEL ROAD, KINSEALY",Dublin,,"€502,203.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
11/05/2022,"24 CARRIGMORE AVE, CITYWEST, SAGGART",Dublin,D24EH60,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
07/12/2022,"63 BELL HARBOUR, MONASTEREVIN, KILDARE",Kildare,W34XN39,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1447428,-7.0684974
24/10/2022,"95 RIVERSIDE, PORTARLINGTON, LAOIS",Offaly,R32KW89,"€121,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.25,-7.5
