Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
13/07/2018,"APT 52, PIER 19, USHERS ISLAND",Dublin,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/12/2018,"64 Glenheron View, Glenheron, Greystones",Wicklow,,"€432,456.75",No,Yes,New Dwelling house /Apartment,,53.1245782,-6.0709263
17/05/2018,"APT. 13 PORT HOUSE, PORT ROAD, LETTERKENNY",Donegal,,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.952543,-7.7277721
21/12/2018,"ARDILAUN, BALLINACURRA, LIMERICK",Limerick,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6457049,-8.6423492
31/05/2018,"4 Castle Park, Whitehall Road, Churchtown",Dublin,,"€700,440.53",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.33306,-6.24889
12/12/2018,"5 Lanesborough Close, Saint Margaret's Road, Finglas",Dublin,,"€330,000.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
12/10/2018,"6 LIOS NA SLI, DUBLIN RD, JOHNSTOWN",Kilkenny,,"€155,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.74917,-7.55417
03/01/2018,"APT 4, 39 LOWER DORSET ST, DUBLIN",Dublin,,"€197,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3598337,-6.2608887
03/01/2018,"RIVER STREET, EYRECOURT, BALLINASLOE",Galway,,"€18,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3275,-8.21944
20/04/2018,"8 BELLEFIELD SPRINGS, ENNISCORTHY, WEXFORD",Wexford,,"€70,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.5087691,-6.5822251
12/03/2018,"GRANGELOUGH, BORRISOLEIGH, TIPPERARY",Tipperary,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
25/05/2018,"17 CARLINN AVENUE, MULLAHARLIN RD, DUNDALK",Louth,,"€200,022.02",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,54.0,-6.41667
07/02/2018,"EDENRAVAGH, CLIFFONEY, SLIGO",Sligo,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
02/02/2018,"BLOCK 9 APT 7 THE GRIFFITH, PROSPECT HILL, TOLKA VALLEY ROAD  FINGLAS",Dublin,,"€181,893.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/05/2018,"22 MAXWELL RD, RATHMINES, DUBLIN 6",Dublin,,"€120,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.3174606,-6.2667366
08/03/2018,"CRAGG, ABBEYFEALE, LIMERICK",Limerick,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.38139,-9.3025
05/12/2018,"51 MELITTA PARK, KILDARE, KILDARE",Kildare,,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.160815,-6.8974751
07/09/2018,"15 CLONUSKE GREEN, HAMLET LANE, BALBRIGGAN",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/01/2018,"28 BEACH RD, SANDYMOUNT, DUBLIN 4",Dublin,,"€1,110,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3348865,-6.2147056
06/02/2018,"BALLYCONNELL, TULLOW, CARLOW",Wicklow,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.0,-6.41667
21/05/2018,"Aughacara, Corrigeenroe, Boyle",Roscommon,,"€130,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.96667,-8.3
26/04/2018,"16 Blackrock House, Blackrock Village, Blackrock",Cork,,"€800,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.89694,-8.41
01/08/2018,"65 CLAREMONT PARK, CIRCULAR RD, RAHOON",Galway,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27277,-9.08765
26/11/2018,"11 Inglenook Wood, Glenamuck Road, Carrickmines",Dublin,,"€612,334.80",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
29/03/2018,"10 WHITE STREET, CORK",Cork,,"€253,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.8941476,-8.4698212
31/07/2018,"9 MOUNT ANDREW CRESCENT, LUCAN, DUBLIN",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3571373,-6.4128912
16/11/2018,"4 Proby Place, Proby Square, Carysfort Avenue",Dublin,,"€1,167,400.88",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.33306,-6.24889
30/07/2018,"2 ASHGROVE LAWN, BALLINGARRANE, CLONMEL",Tipperary,,"€72,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
12/01/2018,"1 LANESBOROUGH SQAUARE, ST MARGARETS RD, DUBLIN 11",Dublin,,"€188,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/08/2018,"17 THE CRESCENT, HIGHFIELD PARK, BALLINCOLLIG",Cork,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.88333,-8.58333
11/07/2018,"9 MAGLIN VIEW BALLINCOLLIG, BALLINCOLLIG, CORK",Cork,,"€386,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.881375,-8.5942609
01/02/2018,"CORRACRAMP, DROMOD, CO. LEITRIM",Leitrim,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.86667,-7.91667
17/08/2018,"7 THE COURTYARD, HOLLYBANK AVE UPPER, RANELAGH",Dublin,,"€920,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/07/2018,"CLONROE COTTAGE, CLONROE LOWER, GOREY",Wexford,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
19/01/2018,"15 PRIORY HALL, MANOR GROVE, TERENURE",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/07/2018,"CARROWNCREEVY, BELTRA, COUNTY SLIGO",Sligo,,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.21944,-8.6175
20/12/2018,"APT 511, CUBES 2, BEACON SOUTH QUARTER",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
