Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
27/11/2024,"31 BLACKHALL GREEN, BLACKHALL PLACE, STONEYBATTER DUBLIN 7",Dublin,D07N26R,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/12/2024,"4 OZIER GROVE, ROSSLARE, WEXFORD",Wexford,Y35D856,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27583,-6.38444
16/12/2024,"1 THE POPLARS, FOREST PARK BORRIS RD, PORTLAOISE",Laois,R32D8N3,"€263,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
09/04/2024,"APT 6 GRANGEGORMAN COURT, GRANGEGORMAN LOWER, DUBLIN 7",Dublin,D07CP08,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3508412,-6.2794255
06/12/2024,"16 BOROIMHE POPLARS, SWORDS, DUBLIN",Dublin,K67RX82,"€583,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4457787,-6.2319935
27/02/2024,"46 MAPLE CLOSE AVE RD, DUNDALK, LOUTH",Louth,A91R8K0,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0,-6.41667
09/09/2024,"TULLIGOLINE SOUTH, TEMPLEGLANTINE, CO LIMERICK",Limerick,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
16/04/2024,"15 Gleann Droimnin, Carrickmacross",Monaghan,A81KX81,"€284,582.00",No,Yes,New Dwelling house /Apartment,,53.97278,-6.71889
30/08/2024,"27 BARRY PARK, FINGLAS WEST, DUBLIN 11",Dublin,D11A6P3,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3954666,-6.3141011
11/06/2024,"7 The Avenue, Cluain Glasan, Ayrfield",Kilkenny,,"€354,700.00",No,Yes,New Dwelling house /Apartment,,52.65417,-7.25222
06/09/2024,"Apt 9 Chestnut House, Gracepark Court, Beaumont Road",Dublin,D09KT67,"€283,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/01/2024,"89 GROVE PARK, RATHMINES, DUBLIN 6",Dublin,D06H766,"€1,075,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3290268,-6.2661744
03/05/2024,"19 BRACKVOAN, BRUFF, CO LIMERICK",Limerick,V35RC80,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4720892,-8.5563062
15/05/2024,"HORESWOOD, CAMPILE, NEW ROSS",Wexford,Y34X242,"€263,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.39667,-6.93667
15/11/2024,"1 MILLBROOK, CLONES, MONAGHAN",Monaghan,H23X635,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.1883681,-7.2375357
