Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
16/08/2024,"FLAT 1, 11 ADDISON RD, FAIRVIEW",Dublin,D03X277,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3621149,-6.2387974
12/12/2024,"5 TULLAN STRAND RD, BUNDORAN, STRAND RD",Donegal,F94RK88,"€297,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.91667,-8.0
20/11/2024,"ST MARTINS, NEW LINE RD, WEXFORD",Wexford,Y35P3Y9,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.33417,-6.4575
05/09/2024,"11 CASTLE VILLAS, KILLINCARRIG, GREYSTONES",Wicklow,A63T296,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.14083,-6.06306
18/11/2024,"21 Hawthorn Way, Janeville, Cork Road",Cork,,"€281,938.33",No,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
29/01/2024,"CROUGHEVOE, MITCHELSTOWN, CORK",Cork,P67F752,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.26583,-8.26806
11/10/2024,"24 BALLYMACE GREEN, RATHFARNHAM, DUBLIN 14",Dublin,D14Y0P2,"€825,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2934506,-6.3063555
13/02/2024,"11 GREENANE TERRACE, KANTURK, CO CORK",Cork,P51P9X7,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.16667,-8.9
18/10/2024,"760 RYDER CUP VILLAGE, K CLUB, STRAFFAN",Kildare,W23E281,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3177,-6.60467
18/12/2024,"5 EFFERNOCK MEWS, TRIM, MEATH",Meath,C15C429,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.555,-6.79167
18/12/2024,"9 Ormond Court, Palmer Avenue, Rush",Dublin,,"€436,123.35",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
28/11/2024,"3 The Boulevard, Carberry Meadows, Balmoston",Dublin,,"€405,286.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
01/10/2024,"17 LAKESHORE DR, RENMORE, GALWAY",Galway,H91T2TK,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.274426,-9.0308884
09/08/2024,"5 SUNDALE MEADOW, TALLAGHT, DUBLIN 24",Dublin,D24V0C8,"€286,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2846549,-6.4109761
16/04/2024,"10 HAGGARD STREET, TRIM, CO MEATH",Meath,C15W202,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5583496,-6.7892378
23/09/2024,"18 LUTTRELLSTOWN WAY, CASTLEKNOCK, DUBLIN 15",Dublin,D15N7Y7,"€595,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.373061,-6.3964724
09/12/2024,"21 Bailey Hill, Navan",Meath,,"€330,396.48",No,Yes,New Dwelling house /Apartment,,53.652789,-6.7022046
